,en,zh
TEXT_ABOUT_TITLE,About,关于
TEXT_ABOUT_AUTHOR_STR,Author,作者
TEXT_ABOUT_AUTHOR,Diamond,Diamond
TEXT_ABOUT_VERSION_STR,Version,版本
TEXT_ABOUT_VERSION,pre-alpha,pre-alpha
